# Based on the diamond.csv dataset which does not really classify very well this version
# puts the target / price into buckets to stop it having to get the exact price. It works
# well enough but could do with some tuning. The alternative would be to have the success
# decided by the price being "close enough" rather than the exact match

@carat_weight numeric
@cut catagorical
@color catagorical
@clarity catagorical
@polish catagorical
@symmetry catagorical
@report catagorical
@price target

1.1,Ideal,H,SI1,VG,EX,GIA,1...7152.85
0.83,Ideal,H,VS1,ID,ID,AGSL,1...7152.85
0.85,Ideal,H,SI1,EX,EX,GIA,1...7152.85
0.91,Ideal,E,SI1,VG,VG,GIA,1...7152.85
0.83,Ideal,G,SI1,EX,EX,GIA,1...7152.85
1.53,Ideal,E,SI1,ID,ID,AGSL,12121.7...17090.55
1,Very Good,D,SI1,VG,G,GIA,1...7152.85
1.5,Fair,F,SI1,VG,VG,GIA,7152.85...12121.7
2.11,Ideal,H,SI1,VG,VG,GIA,17090.55...22059.4
1.05,Very Good,E,VS1,VG,G,GIA,7152.85...12121.7
0.91,Ideal,D,VS2,VG,VG,GIA,1...7152.85
1.01,Good,E,SI1,G,G,GIA,1...7152.85
0.92,Good,I,VS2,VG,VG,GIA,1...7152.85
2.51,Very Good,G,VS2,VG,VG,GIA,31997.1...36965.95
1.5,Very Good,F,SI1,VG,VG,GIA,7152.85...12121.7
2.2,Ideal,H,VS2,EX,VG,GIA,22059.4...27028.25
1.52,Ideal,D,VS1,EX,EX,GIA,17090.55...22059.4
1.28,Very Good,I,VS1,EX,VG,GIA,1...7152.85
1.01,Good,I,SI1,VG,VG,GIA,1...7152.85
0.9,Very Good,F,SI1,VG,EX,GIA,1...7152.85
2.6,Ideal,G,VS2,EX,EX,GIA,36965.95...41934.8
0.8,Very Good,F,VS1,EX,G,GIA,1...7152.85
1.07,Very Good,G,SI1,G,G,GIA,1...7152.85
2.02,Good,I,VVS2,EX,VG,GIA,17090.55...22059.4
2.16,Ideal,F,VVS1,ID,ID,AGSL,41934.8...46903.65
2.03,Good,G,VS1,VG,VG,GIA,22059.4...27028.25
2.02,Very Good,I,SI1,G,G,GIA,12121.7...17090.55
1.01,Very Good,F,SI1,EX,EX,GIA,1...7152.85
2.41,Very Good,H,VS2,EX,EX,GIA,27028.25...31997.1
0.9,Good,H,SI1,VG,G,GIA,1...7152.85
0.92,Ideal,G,SI1,G,VG,GIA,1...7152.85
1.01,Ideal,E,VVS2,EX,EX,GIA,7152.85...12121.7
2.04,Very Good,D,VVS1,VG,VG,GIA,36965.95...41934.8
1.56,Ideal,G,VS1,EX,EX,GIA,12121.7...17090.55
0.77,Signature-Ideal,F,SI1,EX,EX,GIA,1...7152.85
2.01,Very Good,I,VS1,VG,VG,GIA,17090.55...22059.4
2.05,Very Good,H,VS2,VG,VG,GIA,17090.55...22059.4
